,jstime,valence,arousal,video
42692,2134600,5.0,5.0,7
42693,2134650,5.0,5.0,7
42694,2134700,5.0,5.0,7
42695,2134750,5.0,5.0,7
42696,2134800,5.0,5.0,7
42697,2134850,5.0,5.0,7
42698,2134900,5.0,5.0,7
42699,2134950,5.0,5.0,7
42700,2135000,5.0,5.0,7
42701,2135050,5.0,5.0,7
42702,2135100,5.0,5.0,7
42703,2135150,5.0,5.0,7
42704,2135200,5.0,5.0,7
42705,2135250,5.0,5.0,7
42706,2135300,5.0,5.0,7
42707,2135350,5.0,5.0,7
42708,2135400,5.0,5.0,7
42709,2135450,5.0,5.0,7
42710,2135500,5.0,5.0,7
42711,2135550,5.0,5.0,7
42712,2135600,5.0,5.0,7
42713,2135650,5.0,5.0,7
42714,2135700,5.0,5.0,7
42715,2135750,5.0,5.0,7
42716,2135800,5.0,5.0,7
42717,2135850,5.0,5.0,7
42718,2135900,5.0,5.0,7
42719,2135950,5.0,5.0,7
42720,2136000,5.0,5.0,7
42721,2136050,5.0,5.0,7
42722,2136100,5.0,5.0,7
42723,2136150,5.0,5.0,7
42724,2136200,5.0,5.0,7
42725,2136250,5.0,5.0,7
42726,2136300,5.0,5.0,7
42727,2136350,5.0,5.0,7
42728,2136400,5.0,5.0,7
42729,2136450,5.0,5.0,7
42730,2136500,5.0,5.0,7
42731,2136550,5.0,5.0,7
42732,2136600,5.0,5.0,7
42733,2136650,5.0,5.002,7
42734,2136700,5.0,5.004,7
42735,2136750,5.0,5.01,7
42736,2136800,5.0,5.024,7
42737,2136850,5.0,5.06,7
42738,2136900,5.0,5.1,7
42739,2136950,5.0,5.136,7
42740,2137000,5.0,5.172,7
42741,2137050,5.0,5.212,7
42742,2137100,5.0,5.251,7
42743,2137150,5.025,5.277,7
42744,2137200,5.044,5.299,7
42745,2137250,5.044,5.328,7
42746,2137300,5.044,5.347,7
42747,2137350,5.044,5.362,7
42748,2137400,5.044,5.378,7
42749,2137450,5.044,5.391,7
42750,2137500,5.044,5.4,7
42751,2137550,5.044,5.416,7
42752,2137600,5.044,5.436,7
42753,2137650,5.044,5.462,7
42754,2137700,5.044,5.49,7
42755,2137750,5.044,5.515,7
42756,2137800,5.044,5.533,7
42757,2137850,5.044,5.551,7
42758,2137900,5.044,5.575,7
42759,2137950,5.044,5.597,7
42760,2138000,5.044,5.614,7
42761,2138050,5.046,5.625,7
42762,2138100,5.048,5.634,7
42763,2138150,5.048,5.643,7
42764,2138200,5.048,5.657,7
42765,2138250,5.05,5.682,7
